,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
RNU6-1271P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-375P,0.826,0.1379,0.7439,0,0.3697,0.7882,0.1557,0.1101,1.3432,0.1354,1.7492,1.3452
RNU6-570P,0.2622,0.1314,3.3652,0,0.1174,0,0,0,1.1193,0.6447,0,1.0249
RNU6-448P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1183P,0,0,0.6199,0,0,0,0,0,0.8395,0,0.2915,1.5694
RNA5SP278,0,0,1.4586,0.5809,0.2417,0.2208,0,0.3238,0.1646,0.5309,0,0.3957
RNA5SP243,0.7866,0,0,0,0,0.3217,0,0,0,0,0.4998,0
RNU6-909P,0,0,0,0,0,0,0,0,0,0,0,0
SNOZ278,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-188P,0,0,0,0,0,0.3519,0,0,0,0,0,0
RNA5SP312,0,0,0,0,0,0.0971,0,0,0.1447,0,0,0
RN7SKP98,0,0,0,0,0,0,0,0.0706,0.1076,0.1736,0,0
RNU6-334P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1137P,0,0.1393,0,0,0,0,0,0,0,0,0,0
RNU6-1213P,0,0,0,0,0,0,0,0,0,0,0,0.2862
RN7SKP197,0,0.0929,0,0,0.0415,0,0,0,0.0565,0,0,0.1359
RNU6-430P,0,0.2578,0,0,0.3455,0,0.1455,0,0,0.1265,0.327,0.3772
RNU6-1236P,0,0,0,0,0,0.1137,0,0,0,0,0,0
RNU6-699P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-548P,0,1.4392,0,0,0.3215,0.6854,0.8123,0.1915,0.876,0.3532,0.4563,0.3509
RNU6-685P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1096P,0,0,0,0.1936,0,0.2208,0.1526,0,0,0,0,0
RNU6-303P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP342,0,0.2758,1.1158,0,0,0,0,0,0,0,0,0.269
RNU6-894P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP330,0.4302,0,0,0,0.2568,0,0.1622,0,0,0,0,0
SCARNA3,0,0.7716,0.9103,0,0.6033,0.3937,0.1089,0.6159,0.4696,0.4734,0.2446,1.1289
RNU6-1003P,0.2622,0,0.1771,0.3762,0,0,0.1483,0,0,0,0,0.1281
RNU6-201P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-158P,0,0,0,0,0.3697,0,0,0,0,0,0.1749,0
