,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
FAM183BP,0,0.0086,0,0.0991,0.0077,0,0.0098,0.0414,0.1368,0.0085,0.1864,0.1771
GALNT10,6.0883,9.7185,2.6967,2.3859,4.7791,17.3723,12.27,11.3244,4.5701,5.4637,7.5579,13.9099
SAP30L,6.0547,8.2271,4.9803,2.4591,4.8112,5.5158,4.9206,4.4422,6.6392,3.5509,5.3071,9.1125
RPS14,150.252,85.6016,207.4914,144.5016,48.5538,75.087,108.008,101.0803,117.4301,99.9875,95.2996,150.8873
HCN1,0.027,0.001,0.0122,0.0057,0,0.0246,0.0011,0,0.0256,0.002,0.0013,0.0196
MYOZ3,0.4862,0.1671,0.0412,0.0505,0.103,0.1518,0.1248,0.0376,0.1719,0.0185,0.197,1.0994
COG5,2.9395,6.5831,3.4461,5.6917,7.4003,6.7502,5.642,9.2646,8.7336,17.5928,8.191,7.1627
NEUROD6,0,0.007,0,0,0,0,0,0,0,0,0.0089,0.0069
BMT2,2.8392,2.8782,2.3513,3.2972,3.1947,3.7514,2.9451,1.5667,3.0407,1.9826,2.882,4.2882
GPR85,0.0836,0.2914,0.1926,0.0573,0.2655,0.199,0.129,0.149,0.1553,1.2114,0.3164,0.1858
SLU7,9.8664,11.4871,12.7867,6.4271,4.9334,11.5643,9.3629,9.4629,12.1634,8.7973,9.7641,10.798
RP9,4.048,4.9698,26.0711,3.3972,6.1979,6.2725,5.8312,5.9189,7.1715,6.4307,4.6285,6.6023
PTTG1,0.8434,9.2948,22.2505,10.0296,6.5461,17.1205,17.9653,23.6917,19.6202,29.4958,32.0709,4.7339
CAMLG,9.4101,4.7958,4.3294,2.8529,1.8169,2.3343,4.0487,3.4556,3.3561,2.5473,4.924,4.8536
FBXL21,0.0569,0,0,0.0306,0,0,0,0,0.013,0,0,0.0104
BMPER,2.1106,0.0777,0.0652,0.1211,0.1003,0.2029,0.3761,0.0303,0.5358,0.0169,0.2014,0.0977
RELL2,0.2452,0.6941,0.4608,0.9099,0.73,0.6452,0.3436,0.26,0.767,1.0378,0.2438,1.1406
SMAD5-AS1,0,0.0228,0.0717,0,0.0068,0,0.0171,0.0121,0,0.0224,0.0096,0.0519
KCNK5,2.7765,14.9805,7.836,4.2025,9.5977,6.2117,5.1073,9.5924,2.0726,11.4982,4.4667,10.9062
KIF6,0.1334,0.0337,0.047,0.0566,0.0291,0.2988,0.0262,0.0037,0.1216,0.0023,0.0147,0.102
ZNF12,3.1356,7.9652,4.561,3.8452,6.585,11.8776,6.6389,6.6004,14.9404,4.5797,7.3343,10.9292
SLC29A4,0.9902,2.8457,3.6292,0.4894,1.3107,7.1635,0.3751,0.0682,9.9997,0.219,1.4359,0.4352
TEX47,0,0,0,0,0,0,0,0,0,0,0,0
STEAP1,2.3538,9.4418,6.7571,8.6723,8.4133,23.5185,15.2664,29.2142,24.0424,27.9616,14.8074,23.6984
CDCA7L,5.6139,7.445,3.5293,1.0752,12.065,6.0607,7.5925,4.5888,5.1049,7.2766,5.0222,4.2216
SP8,0,0.2001,5.8709,0,0.1689,0.0454,0.4099,0.0059,2.0028,0.0073,0.7191,0.0036
MIOS,1.4291,5.2033,1.842,4.627,3.8053,5.0798,5.8922,5.7639,7.0519,4.0388,5.057,7.0928
KIAA1324L,1.525,0.3469,0.9564,0.509,2.1854,3.2426,0.7987,0.6003,5.6069,2.4744,0.3815,1.907
USP49,0.6529,1.0873,0.659,0.3689,1.2301,1.4094,0.6087,1.5817,1.9263,0.5739,1.086,1.116
INTS4P1,0.0247,0.0954,0.2143,0.0152,0.2525,0.2336,0.0399,0.1241,0.3225,0.0589,0.2822,0.472
SYTL3,0.8984,2.0478,1.0917,2.4346,1.9959,1.7302,1.3816,1.764,1.4668,0.6171,1.8785,3.6975
IQUB,0.1174,0.0475,0.0915,0.0162,0.1374,0.5501,0.0587,0.0523,0.5505,0.0222,0.1061,0.0926
HEY1,0.3211,0.7289,1.1219,0.5723,1.0849,1.3564,1.3534,0.307,1.3402,0.5502,0.9978,0.9684
ZNF704,5.5952,5.3365,10.6715,1.6528,1.8608,1.9086,1.8725,2.8903,6.3576,0.2805,2.7752,4.2872
FABP5,4.0633,8.5693,25.9421,297.3489,11.7873,8.0959,20.982,3.3191,16.1633,21.3452,36.1608,8.0403
SHH,0.5313,0.8353,6.1469,0.0792,0.4686,0.4044,2.1595,2.1624,3.8012,0.4345,1.1831,4.2177
TAGAP,0.4646,6.1388,1.6782,0.7583,1.2508,0.5893,3.4306,2.8702,1.8107,0.7251,2.0021,21.654
COL1A2,42.0366,103.2532,83.7598,42.7758,227.8661,851.8519,207.8216,41.6031,136.6854,117.9086,410.8172,237.4956
FNDC1,1.3746,12.8839,2.609,0.8275,21.0723,37.3067,20.5509,0.4516,11.7796,1.6937,48.3812,14.8211
CHMP4C,2.9509,13.226,23.0053,6.5049,12.3845,9.4419,9.9701,21.6686,23.4617,18.9035,31.5751,2.8474
SLC13A4,0.2834,0.0585,0.355,1.1975,0.1123,0.1068,0.1554,0.0797,0.3037,0.1149,0.1593,0.433
PGAM2,0,0,0,0,0,0,0,0,0,0,0,0
BRI3,15.2395,382.4697,19.0204,9.1887,11.8833,14.13,12.1182,17.3254,12.1273,79.7266,12.0565,13.3319
LMTK2,3.2872,205.8374,4.3231,6.8186,15.0632,9.5156,6.5489,20.5397,9.7729,15.2659,5.9746,11.8909
SLC35G3,0.0069,0.0138,0.0371,0.0197,0.0184,0,0.0155,0.0055,0.2513,0,0.0349,0.1074
CTSB,42.176,147.7933,102.5052,90.3284,77.7099,85.0103,96.0852,112.6924,67.9986,89.1974,143.796,57.5358
SOX17,7.5051,1.7696,2.8696,2.1888,2.7055,2.0926,3.1257,0.4834,0.1718,0.8137,0.5816,2.2249
SEPT7P5,0,0,0,0,0,0,0,0,0,0,0,0
DLC1,10.4973,3.9088,2.6411,1.2334,4.0632,3.4957,4.7264,1.1901,3.6009,1.0761,4.3314,5.6043
ADCY1,0.1035,0.3565,0.7657,0.4313,0.3371,0.5708,0.126,0.1033,0.4821,0.0824,0.0438,0.6646
C8ORF48,0.2521,0.272,0.1964,0.0278,0.1996,0.3172,0.296,0.0388,0.1892,0.0667,0.3819,0.2463
SUN3,0,0.0159,0.2147,0.0342,0.0712,0.0455,0.0449,0.0191,0.2423,0.3596,0.0303,0.101
C7ORF57,0.0303,0.1697,0.0736,0.5556,0.1029,2.8954,0.089,0.0145,0.0959,0.2023,0.1153,0.5085
HNF4G,8.1415,14.1169,31.3013,0.4199,14.791,2.7791,19.3272,10.8835,32.4588,12.8381,46.5626,8.7046
PEX2,6.1919,8.7154,13.8776,4.2726,6.2875,12.5989,9.5907,8.5104,16.9111,10.6065,13.0181,7.1526
RAD21,19.1526,36.8065,41.8655,13.931,57.79,62.4902,46.7015,52.8241,53.4356,108.5638,80.0157,31.5026
SLC30A8,0.2127,0.0615,0,0.0598,0.0118,0.0036,0.005,0.0035,0.0909,0.0798,0.0111,0.0707
MED30,5.8124,8.9456,25.106,7.214,8.6871,5.7002,7.1033,13.4716,9.7588,18.2575,11.7224,6.53
TNFRSF11B,1.5344,1.433,9.8834,2.1227,14.449,0.5513,0.8181,0.0789,20.2516,0.9054,1.0933,2.6455
SBSPON,35.0426,0.7508,0.7604,2.5886,0.2678,0.8918,0.4692,0.319,1.4593,0.3985,1.4182,1.1158
PHKG1,0.952,0.4294,1.084,0.572,0.5845,0.9458,0.9808,0.5302,2.4133,0.4362,0.6713,1.5001
EN2,0.0405,0,0.0055,0.0116,0.029,0,1.1281,1.281,0.2572,0.5304,2.0867,1.2917
KCNV1,0.01,0,0,0,0,0.031,0,0,0.3692,0.002,0.0101,0.0078
CSMD3,0.0013,0.0027,0.0128,0.0106,0.0024,0.0022,8.00E-04,0,0.0091,7.00E-04,0.0026,0.0079
SPIDR,8.5487,6.5615,13.6769,5.3792,6.5093,7.5447,7.4199,7.3403,6.9858,9.4581,9.88,7.0112
ORC5,2.2254,5.3961,4.1349,2.1902,4.4612,4.626,5.0335,9.1767,7.475,20.3943,8.1591,4.678
DEFA5,0.091,0,0,0,0,0.7688,0,0,1.2943,0.0298,0.0385,0.0296
DNAAF5,3.8431,7.8591,6.5047,4.1441,11.6409,17.0591,8.7233,18.8301,13.8356,11.8389,5.8806,6.8062
DEFA4,0,0.0235,0,0,0,0.0192,0.0265,0,0.0286,0,0.0298,0.2063
DEFA6,0.0296,0,10.0784,0.1699,0.0795,0.1453,0,0,0.9388,0,0.1505,0.0579
OSGIN2,4.3797,6.4738,6.2243,3.5129,9.3248,8.0765,6.8363,5.0235,10.9068,9.7166,7.2487,3.9851
DEFB1,1.6886,3.7882,9.2737,183.1679,0.986,5.765,0.2491,2.3487,8.1932,27.6898,0.3265,2.7622
SUN1,9.3041,12.3511,4.8164,6.7064,19.3116,15.3959,8.3034,10.9539,14.1881,10.8293,9.5994,11.023
OXR1,5.9292,9.6032,5.3829,7.2257,9.337,11.3281,5.9293,14.4328,7.5516,10.612,8.4015,8.6141
TMEM74,0.3006,0.0149,0.0401,0.0586,0.0316,0.0364,0.0441,0.0089,0.1018,0.0219,0.0377,0.0471
FAM86FP,0.5955,0.6105,0.6548,0.9736,0.5952,1.1668,0.7675,0.2326,0.5743,0.3269,0.4224,0.7985
GPR146,0.7034,0.2508,0.0991,0.3838,0.2511,0.3883,0.1464,0.1104,0.5263,0.1316,0.0439,0.5693
GPER1,6.7442,0.2606,0.2799,0.9486,0.6709,1.3845,0.8824,0.2291,5.8115,0.2298,0.1288,1.4602
UNCX,0,0.0066,0.0089,0.0094,0.0059,0.0054,0,0.0053,0.2569,0,0,0
TMEM184A,1.1231,3.1382,2.2379,12.9854,4.8217,6.9981,1.7508,6.3047,7.0846,4.4658,2.1578,3.8226
NOS3,1.0375,3.4649,2.2921,0.7525,6.155,3.5691,5.5335,2.1737,0.7898,1.4266,0.8465,3.4907
SPAG11B,0,0,0,0.0601,0,0,0,0,0.0425,0,0,0.0273
MICALL2,2.0233,6.471,3.6958,2.869,8.7983,11.8885,8.3985,11.9656,7.1285,8.4507,10.8834,12.8874
CA3,0.2295,3.4132,3.2396,0.078,0.7247,1.1018,1.134,0.3913,3.4551,0.6653,0.4068,0.7437
INTS1,11.74,24.5945,9.7305,14.9554,30.631,35.2914,26.2755,28.8053,20.8334,31.5619,10.2886,28.7069
CDK5,2.1588,5.8775,6.4629,4.444,3.5871,3.5022,5.2415,10.804,3.158,3.4757,4.2325,3.5705
SLC4A2,6.4703,11.4217,8.6401,4.6621,19.6444,11.7178,10.9311,29.3407,6.576,10.5103,3.0872,9.4166
SLC7A13,0.0308,0,0.0083,0,0,0,0,0,0.0225,0,0,0.012
FASTK,10.1048,18.5585,16.598,14.2786,12.9206,14.6302,16.9641,17.8325,9.4559,7.4931,7.1211,15.6832
TMUB1,29.2504,23.7197,56.3312,26.3894,16.6755,17.5578,25.1894,31.0436,7.7233,22.0002,11.9319,17.29
FMC1,5.2038,1.0593,1.3164,0.7584,0.9188,0.5681,1.442,1.94,0.9482,2.7728,0.5532,0.7091
GBX1,0.0282,0,0,0,0.0084,0.0077,0,0.0075,0.0343,0,0,0
PHAX,7.8116,9.6642,5.4796,4.1526,5.4757,7.0535,9.6891,5.8746,8.1563,4.1553,7.5425,10.216
ALDH7A1,1.4946,1.0401,2.3825,3.2269,2.5187,2.3357,2.4204,2.8001,4.09,1.6067,2.9314,1.8488
FOXK1,10.2558,6.9297,3.2069,6.5972,9.8213,5.7261,7.7821,14.6211,7.366,7.6543,2.4718,8.3674
COX6C,47.3795,24.5683,82.8433,23.485,15.1967,36.8515,34.4731,36.3985,32.4769,74.2245,35.288,17.9414
OSR2,1.6068,0.6213,5.668,5.4597,1.2829,3.7199,7.3062,2.8407,3.9252,0.9333,5.1044,1.786
YWHAZ,76.2648,107.4139,192.4252,141.9192,137.2194,139.5747,134.5124,144.6416,127.4088,206.4277,176.4165,78.8463
BAALC,0.4239,0.0932,0.1024,0.5093,0.0401,0.2086,0.23,0.0579,0.1345,0.0339,0.0876,0.5153
FZD6,5.1543,9.3507,3.1841,9.3912,10.8662,21.1622,13.1139,12.242,11.6844,12.3191,13.2667,7.5849
CTHRC1,1.278,25.1259,17.7018,3.5198,30.5183,72.43,19.6105,2.9149,22.774,14.5621,69.3382,16.6978
SLC25A32,0.0452,0.1699,0.0458,0.027,0.1383,0.0986,0.1278,0.1356,0.1011,0.3001,0.2154,0.1399
DCAF13,1.5339,5.6493,8.6506,2.0116,4.6597,8.2903,7.352,8.7417,11.5622,16.7581,10.1714,2.7288
DCSTAMP,0.0347,0.8341,0.482,0.0711,0.0799,0.0365,0.1569,0.1625,0.1692,0.0487,0.5415,0.2179
TP53INP1,4.9205,11.4921,7.4349,4.3362,4.3921,6.868,5.6642,4.0094,15.1084,3.9009,9.0174,15.5358
INTS8,2.1999,5.8738,8.0502,1.4763,6.5932,9.0825,7.4895,9.0012,16.1405,9.0099,9.5668,6.9416
VIRMA,3.7983,6.1798,7.7598,2.4524,8.526,8.7256,7.541,9.1787,14.9959,10.1356,7.0408,7.7955
FREM1,0.9234,0.5751,0.3327,0.1886,0.0924,0.1402,0.4629,0.1224,2.3336,0.0131,0.3108,0.5512
GEM,198.6733,31.1883,18.3091,10.6727,36.4012,27.9027,21.8952,6.7646,13.7841,11.1914,40.5999,27.9004
PDP1,3.3899,8.3677,36.5636,6.1285,8.234,5.9654,7.2455,9.7229,23.1259,10.3347,6.4114,5.7012
TMEM67,0.838,1.5271,3.0174,0.4094,1.5906,2.225,1.0578,2.1953,3.1486,1.7261,2.0542,0.9962
WASHC5,8.6331,14.4088,23.3527,8.8484,17.3988,15.3423,18.9716,18.9566,19.8315,26.1608,19.6849,14.3731
RPP25L,8.9379,8.8789,13.505,7.831,12.4487,14.7242,13.0026,7.975,9.9015,12.4099,11.2611,6.3443
FAM219A,4.5826,5.926,3.865,2.8982,7.632,6.8207,6.817,2.7335,4.7012,5.6128,5.2218,6.9929
C9ORF24,1.8653,1.1388,0.2625,0.7805,0.5045,3.3453,0.5274,0.0155,0.2014,0.4968,0.5308,0.1804
SNAPC3,6.121,6.1676,2.966,4.9698,6.7708,4.7151,5.8488,14.477,4.4611,4.0266,9.8166,7.2615
KIAA1161,13.29,12.2603,4.8115,4.1416,30.5295,7.6602,12.4029,22.1338,18.641,12.5742,9.9034,7.662
NUDT2,24.2864,8.4192,11.439,5.1168,7.3396,7.524,7.487,10.8866,8.3399,10.5983,14.721,7.5599
TMEM65,1.6939,1.9949,6.5787,2.3536,5.5337,3.4743,2.4865,0.4792,5.5822,5.2194,4.8182,3.2137
PSIP1,17.1566,8.7713,6.017,4.0354,17.0943,6.9071,10.8756,24.4926,6.1317,5.7252,8.23,16.4603
CCDC171,0.3759,0.3404,0.09,0.1668,0.5033,0.2613,0.3626,1.1855,0.3346,0.1532,0.4002,0.396
UBAP1,23.5842,18.245,13.022,44.7137,23.133,30.2737,19.0174,19.676,23.4398,22.0506,23.8407,16.8785
DIRAS2,0.0496,0.0248,0.0293,0.0222,0.0083,0.0279,0.042,0,0.0567,0.0091,0.0157,0.9204
SYK,3.028,19.2029,7.5495,7.0923,12.9278,6.0491,15.8886,11.3161,7.9371,11.3397,21.7195,31.5858
NIPSNAP3B,1.5942,0.3356,0.2345,0.3508,0.4641,0.28,0.3706,0.174,1.008,0.1611,0.2175,1.5507
ABCA1,5.5111,6.1695,2.9921,1.9152,4.0995,3.8922,6.941,4.9171,7.9573,1.1398,8.4894,10.3344
NFIL3,100.1211,9.0269,12.5609,15.7802,15.3053,15.3855,9.3868,8.0363,18.3499,14.5064,19.5694,8.582
LETM2,0.7813,0.4647,0.1156,0.3456,0.1774,0.291,0.3794,0.4682,0.4174,0.3676,0.2747,0.4004
METTL2B,2.723,4.126,3.4857,1.9928,3.9171,4.7632,5.0105,5.4567,1.4578,5.8934,2.2031,4.6303
PRKACG,0,0.0771,0.0347,0,0.0077,0.021,0,0.0274,0,0.0252,0.0109,0.0501
FXN,1.1281,1.1473,1.424,0.4814,1.0031,1.0746,1.9126,1.3298,1.0151,1.2268,2.1754,1.7174
ZMAT4,0.0821,0.0075,0,0,0.01,0.0092,0,0,0.0591,0.022,0.0047,0.0146
NKX6-3,0,8.202,2.665,0.0154,0.0192,0,6.6507,0,0.0721,11.8253,5.4369,0.0263
TMEM71,1.5516,0.8517,0.563,1.7405,0.3029,0.1688,0.756,0.2838,1.0418,0.138,0.7603,3.6413
MAMDC2,22.4692,0.3113,0.1347,5.1781,0.1236,0.2541,2.7112,0.1534,0.5333,0.1735,0.3363,1.0158
PRSS37,0,0,0.1088,0.0267,0,0.0203,0.007,0.005,0.0907,0.0061,0.0315,0.0666
CPA6,0.124,0.1194,5.3917,0.301,0.1281,0.0936,0.0863,0.0419,1.861,0.0188,0.0182,0.0186
C8ORF34,0.0308,0.0913,0.0725,0.0481,0.084,0.0976,0.0334,0.0193,0.2159,0.0211,0.0426,0.0629
TMC1,0.0079,0.0174,0.0149,0.195,0.0311,0.0633,0.0286,0.0101,0.0597,0.0793,0.0181,0.088
ALDH1A1,55.9759,246.9594,81.2049,43.1077,61.9483,377.8905,8.519,80.5878,38.2905,165.6168,9.6639,94.5405
KDM1B,3.5916,9.2118,3.8988,3.5991,13.9192,8.1718,12.4518,13.937,8.8683,12.5213,17.9251,6.3611
HGSNAT,13.5273,11.1908,5.6245,9.9188,9.3517,17.032,16.4454,6.195,12.7227,8.098,11.9357,15.1237
RASEF,3.3296,6.732,3.678,4.3666,8.0043,12.8036,10.3597,19.1708,5.428,13.3445,13.8354,6.9428
GKAP1,4.5199,1.5973,1.64,0.6734,0.8115,1.0459,1.2905,0.4531,0.9179,1.0028,1.3317,1.1665
KIF27,0.6688,0.7004,0.7618,0.4721,1.4396,1.8667,1.3438,1.0286,0.7853,0.4811,0.8114,1.1107
C9ORF64,5.7184,8.9242,4.6459,3.0334,12.7094,10.8223,13.432,6.8201,5.9684,13.597,8.6446,7.7275
HNRNPK,61.6464,95.8158,84.6266,59.4184,111.9444,86.7518,78.9872,114.7665,71.5305,86.9011,85.9858,70.0181
SSMEM1,0.0101,0,0,0,0,0.0165,0,0,0.0859,0,0,0.1082
AL353743.1,3.4832,2.1419,1.6645,0.8695,2.0452,2.1354,1.8755,0.8789,1.194,1.1069,2.1834,2.9287
SVEP1,3.9175,2.5674,0.6132,1.4875,2.1709,1.309,1.9306,0.4297,2.5315,0.3043,1.1437,8.5692
TRPV6,0.1295,0.3465,0.0266,0.2738,0.175,0.0388,0.0288,0.0564,0.0226,0.0455,0.119,0.2893
C7ORF34,0.0296,0.0594,0.04,0,0.0531,0.0121,0.0335,0.0119,0.0181,0.0291,0.113,0.3765
ANKS6,2.0551,4.4868,2.1342,3.2069,8.3346,4.9463,6.5687,1.9828,7.2258,5.191,2.4081,4.7361
FBP1,41.5108,36.8365,30.7117,4.311,9.7329,9.9922,3.5497,2.6675,15.9164,18.0636,5.7375,30.6559
TMEM246,4.5747,6.5145,2.4666,9.2785,9.2262,6.6069,10.4877,6.1725,4.838,8.5805,7.8431,6.8777
ZHX1,7.5833,7.4214,10.3633,10.3923,6.1522,7.0655,8.0954,9.2208,7.3287,9.7177,11.6625,6.7851
CFAP47,0,0.0325,0.0244,0,0.0711,0.2854,0.0095,0.0029,0.2626,0.0071,0.399,0.5713
CYBB,4.7796,32.899,15.5068,3.4488,14.0599,3.5516,22.8498,17.6105,15.7072,3.2646,38.8632,33.0143
DYNLT3,17.2695,23.0486,13.2683,21.6166,16.7922,13.822,13.1787,10.4169,14.8522,9.9583,18.9389,23.6752
METTL27,1.4431,2.3589,3.4244,2.0566,5.3548,3.3313,0.9986,0.8808,1.0653,2.6889,1.1219,2.3194
MID1IP1,23.6532,32.9959,11.392,8.7947,7.1878,8.8155,13.834,10.4634,4.9358,18.0302,13.9448,12.7404
NCF1C,1.2348,2.6579,1.9157,0.9549,1.1919,0.8285,3.8949,2.5846,0.7412,1.0341,0.9807,11.6895
C9ORF84,0.1097,0.0923,0.1333,0.0346,0.4438,1.0101,0.1662,0.0298,1.046,0.082,0.0976,0.4416
CXORF58,0.1716,0.0598,0.0101,0.0214,0.0468,0.0427,0.0675,0.0716,0.1547,0.0073,0.0758,0.2042
KIAA1958,0.4537,1.3279,1.1451,0.6824,2.1499,2.4278,1.2181,2.001,3.1588,1.7217,1.531,1.0474
PTCHD1,5.7584,0.0054,0.0346,0.2545,0.0306,0.208,0.2272,0.0026,0.2033,0.0147,0.0774,0.4156
RNF183,0.0415,0.7339,0.5662,2.5404,1.1899,0.2224,0.2135,0.0332,1.1558,2.9074,0.0768,0.4059
ASB11,0,0.0177,0,0.0063,0.0079,0.0396,0.01,0.007,0.0161,0.0043,0.0056,0.0904
PCDH19,0.6914,0.0594,0.0267,0.2996,0.3183,0.3636,0.2394,0.0237,0.6677,0.0194,0.0789,0.3296
PIGA,2.9505,3.0043,1.5305,3.1441,1.9993,2.1593,1.8206,2.6693,2.3661,1.9638,4.016,2.3254
VEGFD,5.3553,0.3345,0.1362,1.0304,0.0677,0.2577,0.3634,0.0453,0.1998,0.0372,0.1761,0.6588
OR1Q1,0,0.0146,0.0787,0,0.1826,0.0834,0,0,0.0711,0.2865,0,0.0712
OR1K1,0.0434,0,0.0196,0,0,0.0592,0,0,0.1765,0,0,0.2263
STRBP,2.2104,7.0208,2.9243,3.142,5.2419,6.6302,4.8944,6.5074,5.5923,6.123,8.3273,7.219
CLDN3,16.4351,9.505,134.6607,15.5948,83.3215,238.5576,18.8929,0.4062,50.0915,210.5514,94.5744,23.3568
GAPVD1,3.4686,4.0672,2.8677,5.0109,6.6865,5.9997,6.3178,6.382,6.6024,4.7386,4.5602,7.1946
CARD19,6.7357,4.6451,7.1263,5.671,8.1177,6.5067,6.0063,4.2653,6.3083,10.6872,8.3205,6.3901
WNK2,11.9888,4.9502,7.2173,2.885,9.0851,3.8724,3.2582,1.5491,8.7229,2.0454,5.4778,1.9193
ATP7A,1.7044,3.064,1.3454,1.729,1.8182,2.3478,2.408,2.3844,2.8213,0.9187,2.4332,4.7958
ZNF367,0.5825,4.9041,3.2685,2.0622,8.2465,4.4862,6.4226,8.7671,2.2267,5.952,7.2399,2.9298
NLGN4Y,2.3721,0.6166,0.0043,1.2371,1.1809,1.4617,0,0.2756,0.6177,0.011,0.0122,0.0141
HDX,0.4362,0.4181,0.1563,0.1959,0.1681,0.1877,0.2896,0.0834,0.1851,0.041,0.2386,0.506
NDUFB6,32.121,21.1059,25.3596,23.4398,19.1004,24.2498,20.6349,33.879,38.4969,34.7339,32.7131,12.5885
AQP7,0.5661,0.3072,0.6868,0.1353,0.7907,2.5507,0.1274,0.1698,0.4602,0.085,0.1732,0.4635
NOL6,2.2714,10.5568,4.657,10.7906,19.299,21.1763,19.1949,25.2044,9.6524,19.25,10.9262,10.8916
AQP3,3.0786,4.7663,3.7692,577.5932,24.9328,48.7831,0.9734,6.2556,13.0693,2.6741,2.3015,7.2738
TRMT10B,5.0146,2.2521,2.3425,1.199,2.4598,3.3158,3.3517,1.4367,3.7961,2.0737,3.4545,4.6609
VCP,20.1618,36.0738,18.618,30.2809,45.5439,44.9121,39.6136,43.2939,24.8524,37.2856,30.1071,33.6073
PIGO,1.8478,7.7166,4.0471,4.3799,14.5611,7.7566,6.4829,7.1237,6.4818,7.9383,4.7469,5.6277
STOML2,28.6757,34.8466,25.9803,26.3214,36.3732,33.2679,37.4739,35.4553,28.4658,52.7728,39.6921,15.3666
BRWD3,1.2157,3.963,1.8566,1.7288,2.246,2.8731,2.7137,3.6029,3.8807,1.9155,2.33,4.3058
SLITRK5,0.3092,0.0255,0.0123,0.3257,0.0041,0.0133,0.2464,0.0021,0.0461,0.0026,0.0572,0.4003
MELK,0.1962,7.5505,5.0122,2.4375,13.678,11.9454,11.3224,14.9257,8.7727,18.6384,24.3205,2.0699
ARMC3,0.0138,0.0315,0.0106,0.0423,0.2148,1.1712,0.2825,0.0079,0.1631,0.2031,0.005,0.0884
OTUD1,6.7165,10.6696,8.4077,6.2891,9.9882,3.6585,7.6385,7.2447,3.9898,6.799,6.8944,9.6822
ARHGAP12,6.4778,15.8107,10.5688,4.6449,16.571,8.0034,11.4671,22.8584,10.7052,110.2151,13.4254,12.0899
FAT3,4.2505,0.0186,0.0482,0.0266,0.0224,0.1133,0.088,0.0114,0.0888,0.0154,0.0844,0.0544
DEUP1,0.1303,0.0131,0.0176,0.0561,0.0496,0.293,0.0074,0.0052,0.1589,0.0705,0.0497,0.0318
HECTD2,2.0119,1.3541,0.8727,0.9422,0.7694,0.971,1.3736,0.5367,0.9928,0.4665,2.1445,1.4081
SLC7A3,2.9499,0.0182,0.0574,0.061,0.0326,0.1142,0.0069,0.0146,0.2147,0,0.0386,0.0771
FBXO33,6.7848,5.9313,8.326,4.2441,6.3174,6.8821,6.5015,4.569,4.5231,6.567,5.5887,5.5967
INTS6L,1.1029,1.743,0.4379,0.9246,1.1591,1.7587,2.0087,2.2704,1.551,1.2619,4.5772,6.2191
GPR101,0,0,0,0,0.0031,0.0014,0,0,0.0042,0.0017,0,0.0234
CLDN2,0.0969,2.904,37.3195,1.9981,5.1864,36.1401,73.8038,341.7588,19.9553,0.6154,0.3642,4.6393
LRFN5,0.5045,0.0854,0.1424,0.1737,0.0903,0.1027,0.2434,0.0466,0.1148,0.0287,0.0598,0.1972
LRRC18,0,0.0768,0.207,0.0366,0.0152,0.0209,0.0867,0.0272,0.1038,0.0335,0.1082,0.3494
SPTSSA,33.7327,17.6519,24.9125,33.734,30.7605,20.8994,15.5923,19.9225,16.8336,21.3394,17.1507,7.2062
WRN,1.6542,3.3801,1.2056,1.165,2.4059,1.9159,4.198,4.1444,3.4694,3.5648,6.023,3.6715
8-Mar,7.3538,6.9914,4.7284,4.4827,6.2853,3.9595,7.5338,5.6733,6.4133,2.419,5.8929,9.2373
TSHR,0.0444,0.0863,0.0394,0.006,0.0186,0.0307,0.0408,0.0444,0.1524,0.0164,0.0406,0.0977
CFL2,57.4518,2.5703,2.3971,7.7207,2.5412,5.3109,14.1922,4.812,6.7436,2.3723,5.7199,3.7619
SUGT1,5.0892,5.1161,8.1779,3.0418,3.4039,6.3851,5.2783,6.1726,5.4453,7.3616,5.3038,3.8757
GTF2A1,5.6206,9.6843,6.4488,4.7999,8.486,7.2662,9.3924,7.3307,7.2657,9.3275,9.0307,8.4289
ZCCHC24,31.1702,6.1255,3.7946,6.557,6.8264,7.9518,12.8887,1.6248,5.3847,1.2739,5.1597,10.6862
PGM2L1,1.1819,3.4456,2.4819,0.7601,3.1324,3.5836,6.1605,1.8191,6.1789,6.9417,3.6511,2.5122
PHYHIPL,0.7565,0.7374,3.2038,0.0098,0.1403,0.0585,0.1734,0.0082,0.1745,0.0436,0.6451,0.9523
SLC16A9,0.7988,0.137,0.0126,5.0834,0.5927,0.3076,0.2074,0.0149,1.3306,2.1213,1.5364,1.4215
FOLR2,7.097,15.9738,2.1145,8.9541,6.2754,1.2961,5.3436,11.9349,8.0627,1.176,19.0119,17.5849
INPPL1,14.3252,17.9397,15.9492,9.7935,34.0866,32.7447,19.0739,8.2682,29.0048,60.8449,10.4784,17.3219
PHOX2A,1.497,0.0155,0.0417,0,0,0,0.0175,0,0.0094,0,0.0294,0.0075
MBL2,0,0.0076,0,0,0,0,0,0,0,0,0.0048,0.0037
GJB2,2.0199,12.1196,11.5912,634.3475,14.2276,65.6377,24.0456,29.2019,7.9264,4.2956,41.6382,10.7227
CRYL1,13.9411,9.524,11.6473,6.2803,4.6826,3.3204,5.2964,3.3103,7.349,5.275,11.95,4.1629
